course_title,responses,id_recommend_this_course_to_others_numeric_min,id_recommend_this_course_to_others_numeric_max,id_recommend_this_course_to_others_numeric_median,id_recommend_this_course_to_others_numeric_mean,my_instructor_was_an_effective_and_engaging_facilitator_of_learning_numeric_min,my_instructor_was_an_effective_and_engaging_facilitator_of_learning_numeric_max,my_instructor_was_an_effective_and_engaging_facilitator_of_learning_numeric_median,my_instructor_was_an_effective_and_engaging_facilitator_of_learning_numeric_mean,the_course_materials_and_assignments_helped_me_acquire_new_knowledge_and_skills_numeric_min,the_course_materials_and_assignments_helped_me_acquire_new_knowledge_and_skills_numeric_max,the_course_materials_and_assignments_helped_me_acquire_new_knowledge_and_skills_numeric_median,the_course_materials_and_assignments_helped_me_acquire_new_knowledge_and_skills_numeric_mean,taking_this_course_will_improve_my_job_performance_numeric_min,taking_this_course_will_improve_my_job_performance_numeric_max,taking_this_course_will_improve_my_job_performance_numeric_median,taking_this_course_will_improve_my_job_performance_numeric_mean,total_learners,org_vertical,organization,calendar_month,response_pct,level,persona,first_run_section
Maximizing Productivity with Generative AI,6,3,5,5,4.5,4,5,5,4.833333333333333,4,5,4.5,4.5,3,5,4,4,35,Professional Services,Organization 26,2024-03,0.171,Introductory,Data Consumer,0
Maximizing Productivity with Generative AI,11,2,5,5,4.454545454545454,4,5,5,4.909090909090909,3,5,5,4.454545454545454,3,5,5,4.454545454545454,31,Life Sciences,Organization 27,2024-05,0.355,Introductory,Data Consumer,1
Maximizing Productivity with Generative AI,2,4,5,4.5,4.5,4,5,4.5,4.5,3,5,4,4,3,5,4,4,53,Financial Services,Organization 28,2024-02,0.038,Introductory,Data Consumer,1
Maximizing Productivity with Generative AI,19,3,5,5,4.578947368421052,4,5,5,4.947368421052632,4,5,5,4.842105263157895,3,5,5,4.421052631578948,23,Financial Services,Organization 28,2024-02,0.826,Introductory,Data Consumer,1
Maximizing Productivity with Generative AI,3,3,4,4,3.6666666666666665,4,5,5,4.666666666666667,4,5,5,4.666666666666667,3,5,4,4,31,Financial Services,Organization 28,2024-05,0.097,Introductory,Data Consumer,0
Maximizing Productivity with Generative AI,4,4,5,5,4.75,5,5,5,5,4,5,4,4.25,4,5,4,4.25,53,Financial Services,Organization 29,2024-02,0.075,Introductory,Data Consumer,1
Maximizing Productivity with Generative AI,2,5,5,5,5,5,5,5,5,3,5,4,4,3,5,4,4,42,Financial Services,Organization 29,2024-06,0.048,Introductory,Data Consumer,0
Maximizing Productivity with Generative AI,6,4,5,4.5,4.5,4,5,5,4.833333333333333,3,5,5,4.5,3,5,4,4.166666666666667,6,Professional Services,Organization 30,2024-09,1,Introductory,Data Consumer,1
Maximizing Productivity with Generative AI,12,4,5,5,4.916666666666667,4,5,5,4.916666666666667,4,5,5,4.666666666666667,4,5,5,4.75,12,Government,Organization 31,2025-09,1,Introductory,Data Consumer,1
Understanding and Leveraging Large Language Models,17,4,5,5,4.647058823529412,4,5,5,4.764705882352941,4,5,5,4.529411764705882,3,5,4,4.411764705882353,19,Financial Services,Organization 1,2025-11,0.895,Introductory,Data Consumer,1
